ID,status,time,J,W
22103,1,4/1/2018 1:09:40,121.80246,31.15223
12734,1,4/1/2018 1:19:57,121.800647,31.150087
30210,1,4/1/2018 10:00:43,121.800983,31.149913
18776,1,4/1/2018 10:00:44,121.799063,31.15363
17290,1,4/1/2018 10:00:57,121.800058,31.15119
21299,1,4/1/2018 10:03:34,121.79947,31.152038
15579,1,4/1/2018 10:04:39,121.79865,31.156048
30118,1,4/1/2018 10:07:33,121.803285,31.153342
23633,1,4/1/2018 10:07:54,121.798165,31.156895
15643,1,4/1/2018 10:08:53,121.800007,31.150122
21397,1,4/1/2018 10:11:05,121.804143,31.152212
20902,1,4/1/2018 10:14:06,121.800673,31.149938
24025,1,4/1/2018 10:14:52,121.799587,31.152315
28318,1,4/1/2018 10:15:35,121.798635,31.155527
23755,1,4/1/2018 10:18:24,121.799413,31.152548
21998,1,4/1/2018 10:20:49,121.800847,31.149987
20753,1,4/1/2018 10:20:57,121.804075,31.153175
21547,1,4/1/2018 10:23:00,121.799692,31.150302
22026,1,4/1/2018 10:24:42,121.804023,31.152933
20932,1,4/1/2018 10:24:43,121.803858,31.15347
16740,1,4/1/2018 10:25:38,121.799503,31.150913
18167,1,4/1/2018 10:26:53,121.804353,31.151753
20541,1,4/1/2018 10:27:04,121.803902,31.153288
27702,1,4/1/2018 10:28:21,121.803712,31.15361
27509,1,4/1/2018 10:28:43,121.804183,31.152395
26143,1,4/1/2018 10:28:55,121.800623,31.153247
15107,1,4/1/2018 10:29:05,121.803927,31.153578
11133,1,4/1/2018 10:29:40,121.799105,31.153242
26127,1,4/1/2018 10:31:53,121.799315,31.152482
14477,1,4/1/2018 10:31:59,121.804377,31.152008
13132,1,4/1/2018 10:32:02,121.79926,31.150852
11940,1,4/1/2018 10:32:12,121.800337,31.14998
23919,1,4/1/2018 10:32:26,121.804672,31.150913
28638,1,4/1/2018 10:32:50,121.804028,31.15281
25081,1,4/1/2018 10:33:35,121.802287,31.149763
20610,1,4/1/2018 10:33:38,121.800915,31.149887
14098,1,4/1/2018 10:33:53,121.803985,31.153247
11680,1,4/1/2018 10:34:12,121.803752,31.153013
20378,1,4/1/2018 10:35:27,121.802507,31.156222
20921,1,4/1/2018 10:36:35,121.800392,31.150037
16566,1,4/1/2018 10:36:51,121.803757,31.153448
20290,1,4/1/2018 10:36:51,121.8035,31.153418
15278,1,4/1/2018 10:37:40,121.799893,31.150917
10121,1,4/1/2018 10:37:50,121.800428,31.150127
14157,1,4/1/2018 10:38:03,121.799565,31.152258
12907,1,4/1/2018 10:38:52,121.803793,31.153262
13301,1,4/1/2018 10:39:20,121.800135,31.150065
10867,1,4/1/2018 10:40:34,121.799997,31.150613
15035,1,4/1/2018 10:41:55,121.803662,31.153698
23429,1,4/1/2018 10:42:55,121.803968,31.151565
28241,1,4/1/2018 10:43:32,121.800242,31.149888
30024,1,4/1/2018 10:43:35,121.800117,31.150592
20026,1,4/1/2018 10:43:53,121.803932,31.152355
26979,1,4/1/2018 10:44:04,121.800242,31.150262
15379,1,4/1/2018 10:44:08,121.8036,31.153325
18749,1,4/1/2018 10:44:08,121.799193,31.150548
23544,1,4/1/2018 10:44:59,121.80478,31.143138
20388,1,4/1/2018 10:45:21,121.800815,31.153283
23455,1,4/1/2018 10:46:14,121.80285,31.154083
25992,1,4/1/2018 10:46:14,121.803675,31.15366
10004,1,4/1/2018 10:46:35,121.804065,31.152848
21055,1,4/1/2018 10:48:56,121.804108,31.153125
27310,1,4/1/2018 10:49:17,121.803593,31.1532
20210,1,4/1/2018 10:50:10,121.803985,31.153228
15983,1,4/1/2018 10:51:13,121.804303,31.151758
21870,1,4/1/2018 10:51:43,121.800303,31.149973
25397,1,4/1/2018 10:52:00,121.80049,31.150123
28435,1,4/1/2018 10:52:07,121.801508,31.151642
28451,1,4/1/2018 10:53:39,121.803763,31.153385
15569,1,4/1/2018 10:54:05,121.798602,31.155727
30119,1,4/1/2018 10:54:13,121.800302,31.150235
20715,1,4/1/2018 10:55:44,121.800087,31.150612
13713,1,4/1/2018 10:56:16,121.803908,31.153227
16161,1,4/1/2018 10:56:25,121.799127,31.151138
15912,1,4/1/2018 10:56:53,121.801183,31.150063
22089,1,4/1/2018 10:57:38,121.80014,31.150403
20161,1,4/1/2018 10:57:39,121.800232,31.151915
22062,1,4/1/2018 10:57:51,121.800298,31.152467
28445,1,4/1/2018 10:58:07,121.804038,31.15268
15940,1,4/1/2018 10:59:16,121.804532,31.152912
15119,1,4/1/2018 11:00:02,121.801308,31.149742
16747,1,4/1/2018 11:00:02,121.80345,31.153462
23314,1,4/1/2018 11:00:02,121.805467,31.149377
14402,1,4/1/2018 11:00:03,121.800013,31.150283
18063,1,4/1/2018 11:00:03,121.805568,31.149122
18739,1,4/1/2018 11:00:03,121.800688,31.151667
13437,1,4/1/2018 11:00:04,121.806005,31.148087
26652,1,4/1/2018 11:00:04,121.801572,31.151702
27202,1,4/1/2018 11:00:04,121.805373,31.149365
28524,1,4/1/2018 11:00:04,121.805973,31.147913
15899,1,4/1/2018 11:00:06,121.802553,31.145475
16565,1,4/1/2018 11:00:06,121.804273,31.151828
14561,1,4/1/2018 11:00:08,121.80526,31.149575
15940,1,4/1/2018 11:00:08,121.804675,31.153023
16667,1,4/1/2018 11:00:08,121.805622,31.148977
27613,1,4/1/2018 11:00:08,121.80138,31.149677
20161,1,4/1/2018 11:00:09,121.801473,31.147217
21493,1,4/1/2018 11:00:09,121.805897,31.14802
27092,1,4/1/2018 11:00:09,121.801257,31.149852
25160,1,4/1/2018 11:00:10,121.801488,31.149303
16565,1,4/1/2018 11:00:16,121.804282,31.151848
21552,1,4/1/2018 11:00:32,121.801683,31.149943
16565,1,4/1/2018 11:00:36,121.80434,31.151858
15569,1,4/1/2018 11:00:41,121.799928,31.151982
21358,1,4/1/2018 11:00:43,121.80388,31.15329
16630,1,4/1/2018 11:01:01,121.800437,31.152335
16630,1,4/1/2018 11:01:08,121.800437,31.152335
10899,1,4/1/2018 11:01:09,121.801298,31.149835
27252,1,4/1/2018 11:01:10,121.80442,31.151182
25849,1,4/1/2018 11:01:33,121.803337,31.149302
18774,1,4/1/2018 11:01:35,121.803568,31.153068
16834,1,4/1/2018 11:02:09,121.800528,31.151957
13436,1,4/1/2018 11:02:25,121.803093,31.15398
15921,1,4/1/2018 11:02:39,121.80387,31.145697
10277,1,4/1/2018 11:02:42,121.799202,31.153222
16253,1,4/1/2018 11:02:44,121.803335,31.153873
17309,1,4/1/2018 11:02:48,121.804298,31.151758
26944,1,4/1/2018 11:03:05,121.799007,31.152813
20027,1,4/1/2018 11:03:26,121.803273,31.154138
20027,1,4/1/2018 11:03:36,121.803265,31.154142
21153,1,4/1/2018 11:03:42,121.805977,31.147653
18739,1,4/1/2018 11:04:03,121.803038,31.154697
17309,1,4/1/2018 11:04:18,121.804287,31.151733
26507,1,4/1/2018 11:04:18,121.800033,31.152045
20323,1,4/1/2018 11:05:11,121.799647,31.152567
13764,1,4/1/2018 11:05:15,121.803408,31.153558
21903,1,4/1/2018 11:05:23,121.804037,31.152277
30140,1,4/1/2018 11:05:38,121.799375,31.152912
10466,1,4/1/2018 11:05:45,121.804102,31.152177
22050,1,4/1/2018 11:06:11,121.800325,31.15165
15972,1,4/1/2018 11:06:46,121.799882,31.152117
27429,1,4/1/2018 11:06:50,121.804482,31.151508
10217,1,4/1/2018 11:07:17,121.804055,31.15215
10674,1,4/1/2018 11:07:34,121.803698,31.153148
18863,1,4/1/2018 11:07:36,121.803628,31.153115
17437,1,4/1/2018 11:07:45,121.803535,31.153172
16027,1,4/1/2018 11:07:55,121.80367,31.152732
28223,1,4/1/2018 11:07:59,121.804323,31.152295
14383,1,4/1/2018 11:08:19,121.800198,31.148262
26637,1,4/1/2018 11:08:43,121.803582,31.1535
18773,1,4/1/2018 11:10:18,121.799808,31.152128
22045,1,4/1/2018 11:10:26,121.804253,31.150965
14960,1,4/1/2018 11:10:35,121.80015,31.152703
22085,1,4/1/2018 11:10:46,121.799178,31.153362
16140,1,4/1/2018 11:11:31,121.80077,31.150158
25399,1,4/1/2018 11:11:31,121.803962,31.152565
25273,1,4/1/2018 11:12:19,121.803398,31.153342
14064,1,4/1/2018 11:12:40,121.800742,31.150995
11867,1,4/1/2018 11:13:51,121.803975,31.152487
14159,1,4/1/2018 11:14:05,121.803423,31.15389
10715,1,4/1/2018 11:14:15,121.799813,31.152338
23405,1,4/1/2018 11:14:25,121.799478,31.153038
15846,1,4/1/2018 11:15:02,121.799965,31.15269
15818,1,4/1/2018 11:15:12,121.799907,31.152615
16328,1,4/1/2018 11:16:50,121.804168,31.152822
26880,1,4/1/2018 11:16:52,121.800038,31.152512
21120,1,4/1/2018 11:17:35,121.799248,31.153083
28598,1,4/1/2018 11:18:38,121.799475,31.152777
21103,1,4/1/2018 11:19:09,121.803618,31.153003
21103,1,4/1/2018 11:19:19,121.803618,31.153003
21437,1,4/1/2018 11:20:15,121.80035,31.150978
26600,1,4/1/2018 11:21:04,121.80314,31.154097
13766,1,4/1/2018 11:21:32,121.80174,31.1499
30010,1,4/1/2018 11:21:44,121.803597,31.153363
20806,1,4/1/2018 11:23:08,121.803488,31.153838
20806,1,4/1/2018 11:23:09,121.803493,31.15384
17726,1,4/1/2018 11:23:34,121.804013,31.152503
20382,1,4/1/2018 11:23:34,121.804228,31.152738
27704,1,4/1/2018 11:23:34,121.80404,31.152273
27551,1,4/1/2018 11:23:39,121.799548,31.152713
17776,1,4/1/2018 11:23:51,121.804033,31.153443
10258,1,4/1/2018 11:24:12,121.800127,31.152397
