ID,status,time,J,W
10032,0,4/1/2018 11:00:07,121.409567,31.394768
10032,0,4/1/2018 12:12:17,121.433882,31.400187
10080,0,4/1/2018 19:00:41,121.461357,31.146548
10089,0,4/1/2018 11:00:10,121.408848,31.395903
10121,0,4/1/2018 21:00:10,121.70251,31.202988
10151,0,4/1/2018 0:13:32,121.235467,31.465848
10172,0,4/1/2018 16:34:55,121.803305,31.152897
10272,0,4/1/2018 0:44:48,121.3765,31.312938
10309,0,4/1/2018 0:00:25,121.383235,31.195863
10350,0,4/1/2018 11:55:11,121.800372,31.15023
10450,0,4/1/2018 12:00:10,121.366692,31.21969
10465,0,4/1/2018 1:45:16,121.412357,31.210228
10625,0,4/1/2018 19:00:07,121.775875,31.187995
10648,0,4/1/2018 13:27:33,121.803903,31.154063
10890,0,4/1/2018 21:00:08,121.729958,31.183378
10895,0,4/1/2018 12:00:10,121.372062,31.25706
11261,0,4/1/2018 12:00:09,121.419305,31.125382
11279,0,4/1/2018 13:00:05,121.389428,31.241508
11348,0,4/1/2018 21:00:05,121.456647,31.126753
11447,0,4/1/2018 11:40:03,121.800558,31.150013
11834,0,4/1/2018 21:00:06,121.521027,31.231263
12661,0,4/1/2018 11:00:05,121.621827,31.179475
12686,0,4/1/2018 21:44:24,121.817555,31.118463
12687,0,4/1/2018 9:50:35,121.342713,31.235768
12703,0,4/1/2018 9:59:52,121.318988,31.202915
12722,0,4/1/2018 20:59:57,121.4635,31.12909
12747,0,4/1/2018 21:00:02,121.407765,31.206703
12888,0,4/1/2018 0:01:47,121.315317,31.714497
12902,0,4/1/2018 16:53:11,121.800795,31.149415
12943,0,4/1/2018 16:47:52,121.803632,31.153265
12947,0,4/1/2018 13:00:09,121.540115,31.06221
13023,0,4/1/2018 21:00:06,121.549442,31.235312
13108,0,4/1/2018 15:22:54,121.80414,31.152453
13123,0,4/1/2018 16:05:07,121.800002,31.150565
13124,0,4/1/2018 7:07:39,121.437878,31.308792
13263,0,4/1/2018 11:45:13,121.417517,31.221465
13330,0,4/1/2018 19:00:05,121.555535,31.247237
13403,0,4/1/2018 12:38:00,121.363033,31.11764
13410,0,4/1/2018 23:44:02,121.45917,31.338202
13410,0,4/1/2018 13:00:02,121.478398,31.16205
13441,0,4/1/2018 13:49:47,121.802917,31.155233
13494,0,4/1/2018 21:00:04,121.54524,31.203398
13495,0,4/1/2018 9:53:43,121.25071,31.122032
13503,0,4/1/2018 21:00:04,121.330013,31.140733
13504,0,4/1/2018 21:00:06,121.80346,31.154313
13522,0,4/1/2018 9:38:58,121.318867,31.189958
13563,0,4/1/2018 11:00:05,121.763733,30.972717
13593,0,4/1/2018 19:00:02,121.539435,31.316383
13638,0,4/1/2018 13:00:06,121.784513,31.181753
13648,0,4/1/2018 14:13:26,121.803725,31.15265
13661,0,4/1/2018 13:00:08,121.499308,31.135438
13661,0,4/1/2018 18:47:12,121.801372,31.15035
13700,0,4/1/2018 19:00:03,121.573115,31.255767
13752,0,4/1/2018 19:00:03,121.571982,31.203817
13763,0,4/1/2018 19:00:08,121.788433,31.175357
13763,0,4/1/2018 22:52:24,121.802545,31.153395
13764,0,4/1/2018 6:26:11,121.298205,31.223313
13765,0,4/1/2018 8:17:03,121.338663,31.16641
13812,0,4/1/2018 16:34:26,121.803238,31.154082
13819,0,4/1/2018 0:14:13,121.283555,31.274278
13876,0,4/1/2018 21:00:05,121.752118,31.210617
14043,0,4/1/2018 21:00:03,121.402307,31.154202
14047,0,4/1/2018 16:05:37,121.80182,31.150398
14048,0,4/1/2018 0:10:50,121.421005,31.249347
14069,0,4/1/2018 7:50:42,121.316682,31.19518
14079,0,4/1/2018 13:16:20,121.800157,31.150597
14080,0,4/1/2018 21:00:05,121.565717,31.147093
14111,0,4/1/2018 16:57:18,121.8039,31.153115
14123,0,4/1/2018 14:22:38,121.803867,31.153347
14154,0,4/1/2018 5:46:39,121.317855,31.202142
14158,0,4/1/2018 5:25:46,121.342603,31.467503
14160,0,4/1/2018 5:48:10,121.343865,31.19661
14215,0,4/1/2018 22:32:32,121.800958,31.15015
14246,0,4/1/2018 13:00:03,121.495498,31.213373
14310,0,4/1/2018 11:00:08,121.34886,31.342707
14322,0,4/1/2018 20:59:56,121.498278,31.053942
14323,0,4/1/2018 11:00:05,121.391833,31.305748
14368,0,4/1/2018 16:05:49,121.80208,31.148397
14377,0,4/1/2018 21:00:02,121.802362,31.146022
14414,0,4/1/2018 15:39:40,121.798952,31.160872
14437,0,4/1/2018 12:00:08,121.432497,31.20534
14444,0,4/1/2018 12:16:55,121.625538,31.31473
14452,0,4/1/2018 23:37:32,121.80339,31.153883
14452,0,4/1/2018 19:00:09,121.50153,31.150757
14461,0,4/1/2018 13:00:06,121.421593,31.184682
14544,0,4/1/2018 9:15:52,121.449475,31.234712
14629,0,4/1/2018 15:18:20,121.800953,31.150153
14630,0,4/1/2018 9:57:07,121.33667,31.455625
14878,0,4/1/2018 9:34:45,120.913472,31.039478
14880,0,4/1/2018 13:00:08,121.519527,31.154335
14957,0,4/1/2018 23:22:35,121.314225,31.191585
14971,0,4/1/2018 12:00:07,121.416148,31.236828
15017,0,4/1/2018 13:02:16,121.801757,31.15312
15039,0,4/1/2018 13:25:41,121.800642,31.149793
15048,0,4/1/2018 21:00:02,121.69066,31.291863
15049,0,4/1/2018 17:18:02,121.804777,31.153652
15123,0,4/1/2018 13:00:10,121.639865,31.238288
15160,0,4/1/2018 21:00:02,121.492065,31.278327
15199,0,4/1/2018 14:31:39,121.800632,31.15047
15201,0,4/1/2018 11:00:09,121.531382,31.323433
15205,0,4/1/2018 19:00:06,121.640902,31.197405
15215,0,4/1/2018 9:59:54,121.483473,31.13335
15216,0,4/1/2018 13:53:47,121.80319,31.145475
15217,0,4/1/2018 7:59:34,121.375413,31.234905
15233,0,4/1/2018 9:52:32,121.409283,31.224177
15242,0,4/1/2018 6:47:44,121.386352,31.32264
15344,0,4/1/2018 14:25:38,121.803843,31.15293
15345,0,4/1/2018 2:02:30,121.14325,31.293417
15371,0,4/1/2018 21:00:09,121.643545,31.16217
15382,0,4/1/2018 14:51:47,121.803613,31.153535
15383,0,4/1/2018 5:25:05,121.399242,31.312047
15400,0,4/1/2018 15:07:28,121.803327,31.154507
15425,0,4/1/2018 21:00:10,121.564292,31.216837
15579,0,4/1/2018 15:07:44,121.802763,31.155512
15592,0,4/1/2018 13:17:30,121.801022,31.14976
15599,0,4/1/2018 9:59:49,121.280927,31.253855
15611,0,4/1/2018 13:00:04,121.58126,31.173563
15680,0,4/1/2018 14:07:48,121.802508,31.154157
15684,0,4/1/2018 20:59:21,121.8031,31.154542
